Date,Open,Close,High,Low,Volume
2022/04/07,365,362.15,368.54,353.69,4948909
2022/04/08,361.96,355.88,362.5,354.87,4025183
2022/04/11,350,348,354.78,345.2,3777096
2022/04/12,355.91,344.1,359.41,342.25,3824261
2022/04/13,343.92,350.43,352,341.16,3230950
2022/04/14,350.95,341.13,352,339.86,4343837
2022/04/18,340,337.86,342.36,331.62,5105041
2022/04/19,333.22,348.61,351.68,333.22,20906885
2022/04/20,245.2,226.19,248.7,212.51,133387480
2022/04/21,220,218.22,227.68,211.52,53501603
2022/04/22,220.18,215.52,226.27,210.05,37515127
2022/04/25,213.81,209.91,216.66,204.51,28152045
2022/04/26,208.8,198.4,209.15,198.28,20318089
2022/04/27,194.01,188.54,200.19,187.77,22298394
2022/04/28,191.56,199.52,201.48,185.6,21363162
2022/04/29,198.68,190.36,204.71,190,16391889
2022/05/02,191.71,199.46,200.21,190.01,14591602
2022/05/03,198.29,199.87,203.2,194.77,11839431
2022/05/04,197.65,204.01,204.38,191.01,12218781
2022/05/05,200.45,188.32,200.71,186,13971326
2022/05/06,186.75,180.97,187.21,175.81,17185475
2022/05/09,177.66,173.1,183.2,172.3,14031327
2022/05/10,176.01,177.66,181.87,170.57,13883905
2022/05/11,176.09,166.37,180.92,165.55,12665518
2022/05/12,163.96,174.31,177.58,162.71,17662118
2022/05/13,177.16,187.64,187.77,176.01,13136334
2022/05/16,193.3,186.51,195.89,185.7,16145011
2022/05/17,189.17,190.56,191.4,185.17,9876685
2022/05/18,186.72,177.19,187.7,176.27,9665632
2022/05/19,178.05,183.48,186.3,175.71,10448513
2022/05/20,185.87,186.35,190.19,179.77,10429396
2022/05/23,186.15,187.44,187.66,177.89,9602027
2022/05/24,182,180.34,184,177.17,7706372
2022/05/25,180.28,187.83,188.87,180.17,8522092
2022/05/26,186.49,191.4,192.34,183.09,8049933
2022/05/27,193.19,195.19,195.25,190.37,8585987
2022/05/31,196.18,197.44,199.95,190.8,11398460
2022/06/01,198.7,192.91,202.74,191.66,8416151
2022/06/02,192.02,205.09,205.47,191.72,9623121
2022/06/03,200.14,198.98,202.95,198.05,7191775
2022/06/06,202.09,197.14,203.87,195.38,5372043
2022/06/07,194.87,198.61,199.6,193,4839491
2022/06/08,197.95,202.83,207.38,197.64,7244121
2022/06/09,200.65,192.77,201.69,192.54,6948967
2022/06/10,182.64,182.94,185.86,180.85,13074280
2022/06/13,177.07,169.69,179.09,168.96,10222407
2022/06/14,169.75,167.54,172.06,164.28,11555323
2022/06/15,169.26,180.11,183.85,168.53,12396041
2022/06/16,174,173.35,176.27,171.56,8201306
2022/06/17,173.63,175.51,179.65,173.34,12133372
2022/06/21,177.6,170.91,178.62,169.8,12177592
2022/06/22,170.75,178.89,182.82,170.2,12010615
2022/06/23,180.5,181.71,182.76,175.87,9538226
2022/06/24,183.5,190.85,191.19,181.84,12423974
2022/06/27,191.77,189.14,191.78,182.39,8363879
2022/06/28,189.2,179.6,192.2,179.37,7201897
2022/06/29,179.55,178.36,180.67,175.1,5766847
2022/06/30,177.07,174.87,179.45,170.3,7894710
2022/07/01,176.49,179.95,180.1,174.27,5201583
2022/07/05,176.28,185.88,185.92,172.68,7339023
2022/07/06,185.2,184.06,186.22,180.82,5753385
2022/07/07,184.27,189.27,190.21,183.5,6334545
2022/07/08,186.02,186.98,189.91,182.75,5835680
2022/07/11,184.73,177.34,184.99,176.89,6048447
2022/07/12,177.33,174.45,179.78,173.42,6845264
2022/07/13,170.5,176.56,179.18,169.7,12734421
2022/07/14,175.56,174.78,177.52,171.82,9039457
2022/07/15,175.58,189.11,189.22,174.56,16319116
2022/07/18,192.5,190.92,199.67,189.8,16322845
2022/07/19,193.02,201.63,201.97,188.4,28178716
2022/07/20,208.17,216.44,216.97,200.1,53920266
2022/07/21,214.3,223.88,224.32,211.5,23430117
2022/07/22,222.38,220.44,229.35,218.44,17805452
2022/07/25,221.31,218.51,225.23,216.35,10935247
2022/07/26,216.66,213.91,219.39,211.64,9508532
2022/07/27,216.48,226.75,227.78,214.58,10508385
2022/07/28,224.6,226.02,228.1,219.67,8972738
2022/07/29,223.29,224.9,230.75,222.4,9064937
2022/08/01,223.1,226.21,228.39,221,5525044
2022/08/02,222.76,221.42,228.2,220.88,6361327
2022/08/03,224.79,226.73,228.1,222.42,6400701
2022/08/04,227.68,229.91,232.07,225.05,7142741
2022/08/05,225.3,226.78,228.62,222.87,5539733
2022/08/08,227.49,233.49,241.96,226.41,10997409
2022/08/09,231.62,229.94,232.2,224.65,6181194
2022/08/10,236.99,244.11,244.54,236.6,9254760
2022/08/11,244.68,242.7,251.62,241.51,8780062
2022/08/12,244.81,249.3,249.41,243.76,6098531
2022/08/15,248.11,249.11,251.99,247.51,6527391
2022/08/16,247.16,245.69,249.29,244.03,5136806
2022/08/17,241.18,241.15,244.24,237.56,5627224
2022/08/18,241.96,245.17,246.48,239.28,5280387
2022/08/19,240.95,241.16,243.29,235.68,7504707
2022/08/22,232.55,226.54,233.48,224.59,8630094
2022/08/23,226.46,224.55,229.9,224.3,5276945
2022/08/24,225.66,229.61,234.1,223.94,5426316
2022/08/25,230.24,233.98,234.16,229,3766867
2022/08/26,233.63,223.28,236.95,223.15,5349848
2022/08/29,221.93,224.57,229.87,221.52,7109397
2022/08/30,226.66,220.65,229.79,218.74,5740434
2022/08/31,227,223.56,233.88,223.43,8615906
2022/09/01,220.72,230.04,230.37,219.47,7292917
2022/09/02,231.03,226.11,233.88,225.04,8164883
2022/09/06,225.59,218.39,226.85,214.69,7469016
2022/09/07,220.21,228.96,229.33,218.27,8149329
2022/09/08,224.16,227.44,228.74,221.3,6737436
2022/09/09,229.62,233.57,234.78,229.62,6702060
2022/09/12,233.61,236.53,239.49,233.37,6047425
2022/09/13,226.5,218.13,227.69,217.72,8000128
2022/09/14,219.82,224.12,228,215.8,8230340
2022/09/15,230.47,235.38,242.29,229.1,19454122
2022/09/16,231.22,240.13,241.36,227.83,18914177
2022/09/19,245.05,243.63,245.25,235.75,17912370
2022/09/20,240.37,242.85,250.49,239.66,16037431
2022/09/21,242.67,236.87,248.3,236.68,9166772
2022/09/22,235.35,237.05,240.5,231.66,10017965
2022/09/23,235.14,226.41,236.45,221.43,11207228
2022/09/26,225.6,224.07,232.7,223.01,8234285
2022/09/27,228.63,224.36,230.64,220.72,7762223
2022/09/28,229.69,245.2,246.65,227.38,17579670
2022/09/29,241.61,239.71,246.98,235.68,18994943
2022/09/30,237,235.44,242.44,233.26,11848607
2022/10/03,237.85,239.04,241.54,232.85,8657443
2022/10/04,244.84,240.74,245.8,233.25,13925854
2022/10/05,238.76,236.73,241.59,227.38,10825633
2022/10/06,236.68,240.02,244.28,233.91,9188940
2022/10/07,235.77,224.75,237.33,224.28,9806128
2022/10/10,225.64,229.98,233.83,224.23,9991145
2022/10/11,226.05,214.29,230.44,213.7,15282411
2022/10/12,214.3,220.87,223.67,212.64,12952643
2022/10/13,212.69,232.51,234.47,211.73,17505012
2022/10/14,237.8,230,238.8,229.51,15293400
2022/10/17,234.41,245.1,249.92,234.4,21057824
